Código,Nome,Setor,MO,MFCL,RA,RPL,NotaL,LC,D/PL,Receita,CLA,CRA,LPA,RPA,VPA,DPA
ABEV3,Ambev SA,Consumer Defensive,0.3469,0.2974,0.1207,0.2032,2.5303245998943997,1.02,0.02,49241000000.0,-0.153,0.0795,0.6859134593979176,3.1319607431577206,3.75,0.54
B3SA3,B3 SA - Brasil Bolsa Balcao,Financial Services,0.5046,0.7028,0.0555,0.08460000000000001,1.6651077614640002,1.3,0.11,4832000000.0,-0.0177,0.1778,1.0135299202579717,2.3466107209806037,12.23,0.7
BBAS3,Banco do Brasil SA BB Brasil,Financial Services,0,0.32299999999999995,0.0091,0.1297,0.0,0,2.97,87417000000.0,-0.0398,0.025,4.488696246972521,30.50756957095295,35.81,1.03
BBDC3,Bank Bradesco SA,Financial Services,0,0.32799999999999996,0.0141,0.1535,0.0,0,0.5,91194000000.0,0.037200000000000004,0.08460000000000001,2.543058932775385,13.570818439669875,17.47,0.34
BBDC4,Bank Bradesco SA Pref Shs,Financial Services,0,0.32799999999999996,0.0141,0.1535,0.0,0,0.5,91194000000.0,0.037200000000000004,0.08460000000000001,2.543058932775385,13.570818439669875,17.47,0.37
BBSE3,BB Seguridade Participacoes SA,Financial Services,0,0.5035000000000001,0.262,0.4501,0.0,0,0,2919000000.0,-0.055999999999999994,0.0138,1.77,1.4595,3.42,1.75
BRAP4,Bradespar SA Pfd Shs,Financial Services,0.0,-0.0173,0.102,0.1317,-0.0,0,0.16,2724000000.0,0.37329999999999997,0.0,3.2180763948349873,7.826821517437952,24.98,2.24
BRDT3,Petrobras Distribuidora SA,Consumer Cyclical,0.0286,0.0177,0.08960000000000001,0.2433,0.0110354340096,2.95,0.57,95755000000.0,0,0,1.818884120171674,82.1931330472103,0,0
BRFS3,BRF SA,Consumer Defensive,-0.011899999999999999,0.0116,-0.0681,-0.3053,-0.0028699799771999992,1.2,1.97,33884000000.0,0.0,0.0325,-3.8881292055243684,41.70477049698882,10.63,0
BRKM5,Braskem SA Pfd Shs -A,Basic Materials,0.16949999999999998,0.0231,0.058499999999999996,0.4471,0.10240996515749996,0.9,3.69,55792000000.0,0.0,0.0229,4.178274727521547,69.9832793749271,9.01,3.14
BRML3,BR Malls Participacoes SA,Real Estate,0.6973,0.5197999999999999,-0.020099999999999996,-0.0352,0.2564452511807999,1.54,0.24,1214000000.0,0.0,-0.0152,-0.4197892795452512,1.3924158070162158,11.82,0
BTOW3,B2W - Companhia Digital,Consumer Cyclical,0.0298,-0.0132,-0.029500000000000002,-0.0968,-0.0011232788160000001,2.37,1.73,7162000000.0,0.0,-0.0366,-0.7981962950570874,15.662142096435234,7.87,0
CCRO3,CCR SA,Industrials,0.2876,0.11900000000000001,0.0467,0.15460000000000002,0.24709400760800002,1.54,1.64,10532000000.0,0.0883,0.126,0.7024752475247524,5.213861386138614,4.65,0.58
CIEL3,Cielo SA,Technology,0.3393,0.3764,0.045700000000000005,0.33020000000000005,1.9271998065528007,1.17,0.61,11711000000.0,0.08,0.1451,1.3475313049815594,4.310554250925715,4.19,1.21
CMIG4,Energy Company of Minas Gerais,Utilities,0.133,-0.1016,0.0233,0.0693,-0.021818983032,0.93,0.81,22236000000.0,-0.31670000000000004,0.033,0.6676949443016281,15.243187660668381,10.1,0.5
CSAN3,Cosan SA,Energy,0.1127,0.2002,0.0576,0.17059999999999997,0.2217121530623999,1.9,0.89,10299000000.0,0.1797,-0.1696,4.049972542559034,25.248587903036007,25.3,1.11
CSNA3,Companhia Siderurgica Nacional,Basic Materials,0.1471,0.0421,0.0824,0.5245000000000001,0.2676501387080001,1.18,3.17,21911000000.0,0.0,0.018600000000000002,2.6745560424354244,15.791484086715867,6.31,0
CVCB3,CVC Brasil Operadora e Agencia de Viagens SA,Consumer Cyclical,0.34119999999999995,-0.0981,0.049400000000000006,0.2872,-0.4748860524096001,1.27,0.74,1693000000.0,0.16440000000000002,0.2143,1.841758811451647,11.548509880694956,7.5,0.5
CYRE3,Cyrela Brazil Realty SA Empreend e Part,Consumer Cyclical,-0.026099999999999998,0.47740000000000005,-0.0067,-0.0129,-0.0010769299002000002,3.04,0.38,1533000000.0,0.0,-0.22829999999999998,-0.18011572435289674,3.834963964347093,13.85,0.52
ECOR3,EcoRodovias Infraestrutura e Logistica SA,Industrials,0.3741,0.1881,0.0492,0.5576,1.9304758436831997,1.55,7.45,3226000000.0,-0.0596,0.0291,0.7356376152454184,5.774128824286422,1.4,0.61
EGIE3,ENGIE Brasil Energia SA,Utilities,0.4215,-0.0181,0.1069,0.3521,-0.2871573151335,1.09,1.01,8795000000.0,0.1001,0.09570000000000001,2.8360345520683197,10.77913737486641,7.74,3.47
ELET3,Centrais Eletricas Brasileiras SA,Utilities,-0.0953,0.07919999999999999,-0.0159,-0.0617,-0.0074045789927999995,1.15,0.82,39135000000.0,0.0,0.021400000000000002,-2.0478623126797424,28.932524045747915,32.02,0
ELET6,Centrais Eletricas Brasileiras SA Pfd Shs -B-,Utilities,-0.0953,0.07919999999999999,-0.0159,-0.0617,-0.0074045789927999995,1.15,0.82,39135000000.0,0.0,0.021400000000000002,-2.0478623126797424,28.932524045747915,32.02,0
EMBR3,Embraer SA,Industrials,0.044500000000000005,0.19390000000000002,-0.011399999999999999,-0.0342,0.0033640990740000003,2.13,0.96,5114000000.0,-0.0966,-0.024399999999999998,-0.18231786782629833,6.906470933805109,19.68,0.06
ENBR3,EDP - Energias do Brasil SA,Utilities,0.1298,0.053099999999999994,0.0453,0.11560000000000001,0.03609318849840001,1.28,0.6,14320000000.0,-0.0629,0.1161,1.5555738650407844,23.597264562906815,13.84,0.61
EQTL3,Equatorial Energia SA,Utilities,0.1418,0.0195,0.0616,0.2193,0.03735340408800001,2.0,1.38,9891000000.0,0.1607,0.1023,5.002436574474645,49.18399618104245,24.73,1.21
ESTC3,Estacio Participacoes SA,Consumer Defensive,0.2753,0.1892,0.1433,0.20489999999999997,1.5293803018692,2.01,0.03,3591000000.0,-0.0008,0.1201,1.9929534858891775,11.618012934785774,10.41,0.33
FLRY3,Fleury SA,Healthcare,0.1942,0.1222,0.0943,0.1986,0.44443818809519997,2.3,0.61,2592000000.0,0.2464,0.0967,1.0692378991056994,8.199599510301695,5.46,0.96
GGBR4,Gerdau SA Pfd Shs,Basic Materials,0.0933,0.0313,0.009899999999999999,0.0209,0.0006042372039,2.42,0.6,45077000000.0,0.0,-0.0462,0.3116895200213996,26.212739727620576,15.12,0.28
GOAU4,Metalurgica Gerdau SA Pfd Shs,Basic Materials,0.09269999999999999,0.0321,0.0126,0.0742,0.002782013396399999,2.26,1.66,45077000000.0,0.0,-0.0462,0.6969291495942695,45.728493851908134,9.84,0.13
GOLL4,Gol Intelligent Airlines Inc Pfd Shs,Industrials,0.095,0.0051,-0.1628,0.0,-0.0,0.46,0,11365000000.0,0.0,0.0166,-4.53110375168521,32.530634325901715,-1.59,0
HYPE3,Hypera SA,Healthcare,0.3123,0.2271,0.1092,0.1412,1.0935696622032,3.04,0.06,3724000000.0,0.2636,-0.0265,1.7873016174288796,5.8901869232788915,13.08,0.97
IGTA3,Iguatemi Empresa de Shopping Centers SA,Real Estate,0.6183,0.3583,0.046900000000000004,0.08710000000000001,0.9049759802811002,2.44,0.7,707000000.0,-0.0426,0.0418,1.3815595769256903,4.003125495436324,15.99,0.68
ITSA4,Itausa Investimentos ITAU SA,Financial Services,0.0,-0.0708,0.1424,0.17309999999999998,-0.0,0,0.07,15907000000.0,0.0209,0.0458,1.1219042410263118,1.8912813440022829,6.56,0.89
ITUB4,Itau Unibanco Holding SA,Financial Services,0,-0.4412,0.016399999999999998,0.1819,-0.0,0,1.27,101227000000.0,0.0351,0.06849999999999999,2.424485982452311,10.324923960694155,14.07,0.4
JBSS3,JBS SA,Consumer Defensive,0.039900000000000005,0.0239,-0.0087,-0.038,0.000315263466,1.88,2.21,177096000000.0,-0.35979999999999995,0.10640000000000001,-0.36280348144754926,64.90004580852039,9.98,0.05
KROT3,Kroton Educacional SA,Consumer Defensive,0.2643,0.1517,0.0774,0.10869999999999999,0.33732866586779986,7.29,0.35,5489000000.0,0.2345,0.1377,1.0223506157822715,3.338300136840505,9.75,0.41
LAME4,Lojas Americanas SA Pfd Shs,Consumer Cyclical,0.1082,0.0148,0.0151,0.0852,0.0020601816672,2.39,2.86,17865000000.0,-0.17800000000000002,0.0182,0.24490050916815043,11.161090806859713,2.99,0.08
LOGG3,LOG Commercial Properties Participacoes SA Ordinary Shares,Real Estate,0.7541,0.7151000000000001,0.016,0.0232,0.20017216499200002,0.44,0.3,102000000.0,-0.4839,0.1354,0.6788964321825798,1.4733497038855987,0,0
LREN3,Lojas Renner SA,Consumer Cyclical,0.1697,0.023799999999999998,0.1246,0.2842,0.1430213638952,1.37,0.13,8427000000.0,0.20149999999999998,0.111,1.416619446018466,11.703776540781973,5.51,0.32
MGLU3,Magazine Luiza SA,Consumer Cyclical,0.065,0.0277,0.0877,0.3613,0.057050661005,1.32,0.14,14602000000.0,0.0,0.0701,3.006437869574114,76.61432071818712,12.23,0.4
MRFG3,Marfrig Global Foods SA,Consumer Defensive,0.052000000000000005,-0.0281,-0.0315,-0.6029,-0.027750160620000006,1.09,61.47,30824000000.0,0.0,-0.04769999999999999,-1.3552665464846767,49.613700746845225,0.33,0
MRVE3,MRV Engenharia e Participacoes SA,Consumer Cyclical,0.1423,0.0944,0.0467,0.1204,0.0755301351616,2.91,0.44,5270000000.0,-0.0319,0.0222,1.5310487684063583,11.865627955149277,13.1,0.35
